Thu nhap trung binh,Tuoi nha,So luong phong,So phong ngu,Dan so,So luong nguoi song,Vi do,Kinh do,Gia nha
8.3252,41,6.9841,1.0238,322,2.5556,37.88,-122.23,4.526
8.3014,21,6.2381,0.9719,2401,2.1098,37.86,-122.22,3.585
7.2574,52,8.2881,1.0734,496,2.8023,37.85,-122.24,3.521
5.6431,52,5.8174,1.0731,558,2.5479,37.85,-122.25,3.413
3.8462,52,6.2819,1.0811,565,2.1815,37.85,-122.25,3.422
4.0368,52,4.7617,1.1036,413,2.1399,37.85,-122.25,2.697
3.6591,52,4.9319,0.9514,1094,2.1284,37.84,-122.25,2.992
3.12,52,4.7975,1.0618,1157,1.7883,37.84,-122.25,2.414
2.0804,42,4.2941,1.1176,1206,2.0269,37.84,-122.26,2.267
3.6912,52,4.9706,0.9902,1551,2.1723,37.84,-122.25,2.611
3.2031,52,5.4776,1.0796,910,2.2637,37.85,-122.26,2.815
3.2705,52,4.7725,1.0245,1504,2.049,37.85,-122.26,2.418
3.075,52,5.3226,1.0128,1098,2.3462,37.85,-122.26,2.135
2.6736,52,4,1.0977,345,1.9828,37.84,-122.26,1.913
1.9167,52,4.2629,1.0097,1212,1.9548,37.85,-122.26,1.592
2.125,50,4.2424,1.072,697,2.6402,37.85,-122.26,1.4
2.775,52,5.9396,1.0483,793,2.3958,37.85,-122.27,1.525
2.1202,52,4.0528,0.967,648,2.1386,37.85,-122.27,1.555
1.9911,50,5.3437,1.0859,990,2.3628,37.84,-122.26,1.587
2.6033,52,5.4655,1.0836,690,2.5091,37.84,-122.27,1.629
1.3578,40,4.5241,1.1084,409,2.4639,37.85,-122.27,1.475
1.7135,42,4.4781,1.0027,929,2.5383,37.85,-122.27,1.598
1.725,52,5.0962,1.1318,1015,2.1234,37.84,-122.27,1.139
2.1806,52,5.1938,1.0369,853,2.6246,37.84,-122.27,0.997
2.6,52,5.2701,1.0355,1006,2.3839,37.84,-122.27,1.326
2.4038,41,4.4958,1.0336,317,2.6639,37.85,-122.28,1.075
2.4597,49,4.728,1.0209,607,2.5397,37.85,-122.28,0.938
1.808,52,4.7809,1.0605,1102,2.7758,37.85,-122.28,1.055
1.6424,50,4.4017,1.0402,1131,2.3911,37.84,-122.28,1.089
1.6875,52,4.7032,1.0323,395,2.5484,37.84,-122.28,1.32
1.9274,49,5.0688,1.1825,863,2.2831,37.84,-122.28,1.223
1.9615,52,4.8821,1.0907,1168,2.6485,37.84,-122.28,1.152
1.7969,48,5.7373,1.2209,1026,3.0627,37.84,-122.27,1.104
1.375,49,5.0304,1.1125,754,2.2918,37.83,-122.27,1.049
2.7303,51,4.972,1.0709,1258,2.347,37.83,-122.27,1.097
1.4861,49,4.6023,1.0682,570,2.1591,37.83,-122.27,0.972
1.0972,48,4.8075,1.1551,987,2.639,37.83,-122.27,1.045
1.4103,52,3.7494,0.9677,901,2.2357,37.83,-122.28,1.039
3.48,52,4.7573,1.068,689,2.2298,37.83,-122.26,1.914
2.5898,52,3.4943,1.0273,1377,1.9784,37.83,-122.26,1.76
2.0978,52,4.2152,1.0608,946,2.3949,37.83,-122.26,1.554
1.2852,51,3.759,1.249,517,2.0763,37.83,-122.26,1.5
1.025,49,3.7725,1.0688,462,2.4444,37.84,-122.26,1.188
3.9643,52,4.798,1.0202,467,2.3586,37.84,-122.26,1.888
3.0125,52,4.9418,1.0651,660,2.2603,37.83,-122.26,1.844
2.6768,52,4.3351,1.0995,718,1.8796,37.83,-122.26,1.823
2.026,50,3.7007,1.0592,616,2.0263,37.83,-122.26,1.425
1.7348,43,3.9802,1.2332,558,2.2055,37.82,-122.27,1.375
0.9506,40,3.9,1.2188,423,2.6438,37.82,-122.26,1.875
1.775,40,2.6875,1.0653,700,1.9886,37.82,-122.27,1.125
0.9218,21,2.0457,1.0342,735,1.6781,37.82,-122.27,1.719
